['video', 'enonce', 'age', 'sexe', 'nationalité', 'langue maternelle', "niveau d'études", 'Exces (0/1/2)', 'Total']
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Monsieur', '20', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Monsieur, vous m’écoutez ou pas ?', '20', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Monsieur ?', '20', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', 'Oh !', '20', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '1', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '1', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '1', None]
['[sketch4]-[groupe5]-[ARTUS]-[STANDAERT]', '[mouvement de bras brusque puis mouvements répétitifs]', '20', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
[None, None, '20', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '22', 'F', 'Français', None, 'Bac +3', '2', None]
[None, None, '21', 'F', 'Français', None, 'Bac+3', '2', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Mais ça bof, ça éteint, en gros là.', '20', 'F', None, None, 'Bac +3', '2', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', "C'est la première la dernière fois que je l' fait de ma vie ou voilà, mais la glace moi c'est pas la dernière fois. (doigt en l'air)", '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '2', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Arrête de mentir.', '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', "Je te promets, je vais le refaire le soir devant un petit film, je vais prendre mes boules de glace, mon huile d'olive, mon sel. Vous allez voir (2 mains sur la table en pointant des doigts)", '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', "Aujourd'hui, on va voir, aujourd'hui, vous allez voir allez voir, on va voir recette suivante. (tend le bras)", '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Bon maintenant, nous allons faire une recette, entre guillemets, de boisson de dualipa. (fais des guillemets avec ses mains)', '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Tu sais c’est qui ou pas ou quoi comme chanson Dua Lipa.(chante)', '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '2', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Je savais pas que tu connaissais ça, je sais même pas que tu connaissais ça comme musique toi.', '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', "C'est bien bébé.", '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '2', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Bon bref regarde je vais te montrer la recette, donc elle a un verre de glaçon, dedans elle met du coca, mais nous on utilise pas de coca, nous on utilise piscol. (montre la bouteille)', '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
['[placement4]-[groupe1]-[Domi & Yani]-[VLAEMINCK] https://youtu.be/hIAZJjAwk7g?si=L0BB0BL5CEA8AFw5', 'Les gars, supportez !', '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '1', None]
[None, None, '20', 'F', 'Burundaise', 'Swahili', 'Bac +3', '1', None]
[None, None, '20', 'F', None, None, 'Bac +3', '0', None]
[None, None, '20', 'F', None, None, 'Bac +3', '2', None]
